country,file,stem,recode,women_health_category,women_health_role,phase_version,variables,catalog_filename,survey_id,data_label
Senegal,SNIR7AFL.DTA,SNIR7AFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,7A,3998,SNIR7ADT.zip,489,
Senegal,SNIR7ZFL.DTA,SNIR7ZFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,7Z,5360,SNIR7ZDT.zip,534,
Senegal,SNIR81FL.DTA,SNIR81FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,81,4997,SNIR81DT.zip,580,
Senegal,SNIR8BFL.DTA,SNIR8BFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,8B,4997,SNIR8BDT.zip,581,
Senegal,SNIR8IFL.DTA,SNIR8IFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,8I,1542,SNIR8IDT.zip,587,
Senegal,SNIR8SFL.DTA,SNIR8SFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,8S,5997,SNIR8SDT.zip,611,
Serra Leoa,SLIR51FL.DTA,SLIR51FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,51,3985,SLIR51DT.zip,324,
Serra Leoa,SLIR61FL.DTA,SLIR61FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,61,4499,SLIR61DT.zip,450,
Serra Leoa,SLIR73FL.DTA,SLIR73FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,73,1449,SLIR73DT.zip,515,
Serra Leoa,SLIR7AFL.DTA,SLIR7AFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,7A,5119,SLIR7ADT.zip,545,
Sudão,SDIR02FL.DTA,SDIR02FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,02,1848,SDIR02DT.zip,29,
São Tomé e Príncipe,STIR51FL.DTA,STIR51FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,51,4365,STIR51DT.zip,318,
Tanzânia,TZIR21FL.DTA,TZIR21FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,21,2096,TZIR21DT.zip,41,
Tanzânia,TZIR3AFL.DTA,TZIR3AFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,3A,2914,TZIR3ADT.zip,82,
Tanzânia,TZIR41FL.DTA,TZIR41FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,41,2783,TZIR41DT.zip,167,
